"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"6787","RT @LOLGOP: It’s not fair to say that the GOP is only apathetic about gun violence. 4,000 Americans died of the flu last week and they want…",FALSE,0,NA,2018-02-16 01:26:38,FALSE,NA,"964310016432816128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","walcpulse328",1541,TRUE,FALSE,NA,NA
"6788","The Flu Vaccine Is Working Better Than Expected, C.D.C. Finds - https://t.co/XDBHussgd0 https://t.co/BN9pOt82R1",FALSE,0,NA,2018-02-16 01:26:35,FALSE,NA,"964310001501310977",NA,"<a href=""https://geopost.com"" rel=""nofollow"">geopost247</a>","gooshi2000",0,FALSE,FALSE,NA,NA
"6789","I want to join in on the #BlackPanther joy, but my coworker gave me the flu so now I have to miss out opening weeke… https://t.co/YjBLIqlcNh",FALSE,0,NA,2018-02-16 01:26:33,TRUE,NA,"964309995742466053",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","minimerc4",0,FALSE,FALSE,NA,NA
"6790","RT @660NEWS: The death toll from the flu season has now surpassed last year's, as a particularly nasty strain of the virus continues to wor…",FALSE,0,NA,2018-02-16 01:26:31,FALSE,NA,"964309987202777088",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HomelessCalgary",3,TRUE,FALSE,NA,NA
"6791","RT @TerryTorro: CAN YALL COUGH &amp; SNEEZE IN YOUR DAMN ELBOW! THE FLU IS LITERALLY MURKING PEOPLE AND YALL OUT HERE BEING DISRESPECTFUL https…",FALSE,0,NA,2018-02-16 01:26:28,FALSE,NA,"964309974540279808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kingg_Grant",5511,TRUE,FALSE,NA,NA
"6792","RT @TerryTorro: CAN YALL COUGH &amp; SNEEZE IN YOUR DAMN ELBOW! THE FLU IS LITERALLY MURKING PEOPLE AND YALL OUT HERE BEING DISRESPECTFUL https…",FALSE,0,NA,2018-02-16 01:26:27,FALSE,NA,"964309970455072769",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","asaph0ney",5511,TRUE,FALSE,NA,NA
"6793","ugh usually i’d be all for getting a stomach flu before the snow melts and everyone stops looking like frosty the c… https://t.co/UR9mneXwkS",FALSE,0,NA,2018-02-16 01:26:25,TRUE,NA,"964309960732676096",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","banksybutsoft",0,FALSE,FALSE,NA,NA
"6794","@TTM_Mike You do realize nano flu readout coming very soon",FALSE,1,"TTM_Mike",2018-02-16 01:26:24,FALSE,"964308196478382081","964309956165062656","957619595862597634","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","professorzinnel",0,FALSE,FALSE,NA,NA
"6795","RT @TerryTorro: CAN YALL COUGH &amp; SNEEZE IN YOUR DAMN ELBOW! THE FLU IS LITERALLY MURKING PEOPLE AND YALL OUT HERE BEING DISRESPECTFUL https…",FALSE,0,NA,2018-02-16 01:26:21,FALSE,NA,"964309946627231745",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NanewsCloset",5511,TRUE,FALSE,NA,NA
"6796","RT @TerryTorro: CAN YALL COUGH &amp; SNEEZE IN YOUR DAMN ELBOW! THE FLU IS LITERALLY MURKING PEOPLE AND YALL OUT HERE BEING DISRESPECTFUL https…",FALSE,0,NA,2018-02-16 01:26:21,FALSE,NA,"964309946035818496",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","blasian_ash",5511,TRUE,FALSE,NA,NA
"6797","RT @TerryTorro: CAN YALL COUGH &amp; SNEEZE IN YOUR DAMN ELBOW! THE FLU IS LITERALLY MURKING PEOPLE AND YALL OUT HERE BEING DISRESPECTFUL https…",FALSE,0,NA,2018-02-16 01:26:21,FALSE,NA,"964309944165117952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hdzyesseniaa",5511,TRUE,FALSE,NA,NA
"6798","@PayHomage Flu?",FALSE,0,"PayHomage",2018-02-16 01:26:21,FALSE,"964309570867875840","964309943074639873","56155058","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","QueenBeeThaOG",0,FALSE,FALSE,NA,NA
"6799","@Quocatron @benpopart The flu is coming for you.",FALSE,0,"Quocatron",2018-02-16 01:26:20,FALSE,"964309824451301376","964309941103316992","18296855","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_W_Gronewold",0,FALSE,FALSE,NA,NA
"6800","RT @LOLGOP: It’s not fair to say that the GOP is only apathetic about gun violence. 4,000 Americans died of the flu last week and they want…",FALSE,0,NA,2018-02-16 01:26:19,FALSE,NA,"964309936489549824",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Jackwraith",1541,TRUE,FALSE,NA,NA
